content,appName
Tiap update pasti selalu sepi orderan🥴🥴,inDrive
BOROS GINI BATRAINYA BAIS DI UPDATE,inDrive
Apk sangat bagus tapi Auto Beat Bermasalah,inDrive
baik,inDrive
sangat membantu,inDrive
Mantap,inDrive
Akun d blokir karena sering cancel padahal drivernya yg mnt d cancel dengan alasan jauh,inDrive
mudah dan hemat,inDrive
Map di tempat saya sala seharusnya jembatan dahulu baru lorong ini lorong dulu baru jembatan kalo mau pesan indrav gua bingung mau Taru titik nya di mana,inDrive
👍👍👍,inDrive
"Selamat malam,,saya sebagai mitra indriver mohon bantuannya atas aplikasi/pengembangan masalah aplikasi indriver tidak kompatibel dengan smartphone saya,, Type smartphone saya redmi 5plus android 8. mohon bantuannya, terimakasih.",inDrive
Aplikasi GK guna masak Awa diblokir tgl14 lali diperpanjang pemblokiran sampe tgl 21 sementara akun TDK melakukan kesalahan apapun,inDrive
good,inDrive
Kenapa susah bgt dpt orderan nya..,inDrive
sangat bagus,inDrive
susah masuk lelang makin anyep stelah pembaruan,inDrive
"Sangat sulit mencari order selalu tulisannya di tolak atau sudah di ambil padahal baru muncul notif 1 detik selalu tulisanya order sudah di ambil Percuma jd driver Yg sudah banyak rit nya, twrutama order luar kotanya seperti orderan fiktif di pencet nga dapet2",inDrive
kalau bisa samarkan nama driver untuk menghindari persaingan yang tidak sehat sebab ada pelanggan yang sengaja memilih driver yang diinginkan hanya untuk merusak performa driver.,inDrive
"Aplikasi ini payah,,, saya sudah jadi driver car 1 tahun,, dapat order cuman di awal saja lalu saya top up saldo dan orderan ndak ada sama sekali,,, ( mohon info team Indriver diperhatikan juga email dari saya selalu no respon )",inDrive
Udah gk pernah dpt order..,inDrive
Ngelek terus dah app nya,inDrive
selamat sampai tujuan,inDrive
baik,inDrive
ya mantap,inDrive
aplikasi indrive makin du update makin buruk saya susah sekali dapat orderan argo besar kadang saling sebelahan tapi tidak masuk room jadi sulit sekali di pilih penumpang maupun pemesan kurir,inDrive
"Min, sebagai driver cewek, ini aplikasi sangat bagus. Tapi kenapa sewa yang cancel malah akun driver yang diblok, mungkin karna saya cewek ya oke lah di cancel, tapi jangan akun saya di blok dong min... Sedih kali aku asli",inDrive
Masih bnyak kekurangannya......nada pesan tak ada pilihan. Dll,inDrive
🙏🙏,inDrive
Saya puas menggunakan inDrive.,inDrive
Pelayanannya lama banget giliran di mahalan langsung pada di terima dan di jemput sing penumpangnya,inDrive
Sangat membantu,inDrive
kepada indriv...kasih hilangkan fitur pemesanan titik ganda karna sanggat merugikan driver,inDrive
bagus,inDrive
Cmn 2 orderan parah,inDrive
"3 bintang dulu, untuk driver agak kurang buat dapat orderan , kayak udah di setel sama sistem aplikasi",inDrive
Sementara bintang 1 KRN KONSUMEN BSA SEMBARANGAN EDIT² HRG DI LUAR NURUL. Saran KONSUMEN BSA EDIT JIKA TURUN 1RB RUPIAH DRI HRGA YG DI TETAPKAN APLIKATOR.,inDrive
"Saran, jika mumpuni .. di kota Manado tolong dibuatkan Kantor Cabang. Terima kasih",inDrive
cekatan,inDrive
"Sekedar masukan, untuk aplikasi versi terbaru sangat berat, dan juga boros pemakaian baterai, mungkin bisa dimaksimalkan kembali pada poin tersebut",inDrive
pengemudi baik dan sopan,inDrive
Maap saya sudah tambah Dana saldo saya kepotong tapi dana indrive nya ga nambah gimana tuh mohon kebijakannya sudah mau sehari belum masih nambah saldo nya,inDrive
"Teruntuk pihak indriver, untul update selanjutnya kami para driver sangat memohon untuk sistem di rubah ulasan ke pengemudi harap di tinjau ulang kami driver kerap mendaptkan ulasan yang tidak masuk akal kami driver sering dapat orderan palsu dan kami di fitnah dan di beri ulasan negatif, untuk pihak aplikasi dapat memperbarui sistem agar menggunakan real time atau real gps agar ordran yang di jalan kan lebih akurat",inDrive
driver baik ....,inDrive
Untuk notif order masuk kasih pilihan dong. Biar ketahuan lo order masuk..,inDrive
trima trimakasih pak supirnya baik dan sopan🙂🙂,inDrive
Mantaap jadi driver indrever jarak jemput jauh anter juga jauh ongkos murah potongan saldo gede sejahtera lah para deiver,inDrive
Daftar mudah dan ongkos terjangkau,inDrive
Siang ka kenapa saya tdk pernah dapat orderan dari pagi,inDrive
cukup memuaskan,inDrive
Harga nya terjangkau untuk anak sekolahan jadi bisa hemat duit jajan,inDrive
bagus,inDrive
"Indriver kenapa sih akun saya kena bag jadi gak ada lelangan sama sekali, udah di otak Atik SMA aja lelangan tidak ada",inDrive
Tolong kembalikan akun indrive lama saya ranting 4.85 perjalanan 3224 segera dipercepat,inDrive
nyaman n murah terjangkau,inDrive
pengemudi nya sopan .rapi dan wangi,inDrive
bagus,inDrive
Cowok dlu ya,inDrive
Keluar dari jam 5 pagi sampai jam 10 ga bunyi2.,inDrive
"Cb dah layanan food ada bikin sistem kaya aplikasi lain dgn pembyran tonai dan non tunai,pasti lumyn jg,sayang bgt klo gini2 aja aplikasi dah gede..manfaatin",inDrive
Lama - lama orderan susah,inDrive
Info dong Ko apk indriver GK bisa saya download di hp saya kenapa ya?,inDrive
akun prioritas udah 7hari lebihh gak dikasih orderann min,inDrive
"Tolong nada dering atau nada notifikasinya diperbaharui,karna yang saat ini terlalu pelan suaranya.",inDrive
🤗,inDrive
mantap,inDrive
Sangat bagus,inDrive
Mantap,inDrive
Klo bisa disediakan juga metode pembayaran pke Dana 🥰🙏,inDrive
oke,inDrive
"Bruh,after im update the app why so difficult to get some order",inDrive
OK,inDrive
Menarik,inDrive
baik,inDrive
"untuk versi 5.109.0 sangat buruk, terlalu banyak memakan batrai. tolong optimalisasikan kembali terima kasih, dan seringnya delay order",inDrive
"UNTUK APLIKASI ""INDRIVER PENUMPANG"", SEGERA RUBAH DAN PERBAIKI APLIKASI ANDA !!! "" KARENA JIKA PENUMPANG MENGCANCEL DAN DRIVER TIDAK PERNAH JUMPA APALAGI DRIVER MEMBAWA NYA LALU PARAHNYA PENUMPANG / CUSTUMER INI DAPAT MEMBERI PENILAIAN BINTANG KE DRIVER ANDA KASIHAN LAH UNTUK DRIVER NYA KALAU BINTANG BAGUS YG DIBERI ,YA BAGUSLAH INI sebaliknya YG DIBERI BINTANG JELEK KE DRIVER. SEGERALAH DI PERBAIKI APLIKASI PENUMPANG / CUSTUMER INDRIVER ANDA. TERIMAKASIH",inDrive
Woy gmna akun customer yang d blokir knpaa gabisa login akun driver emang tolol apk ini,inDrive
Bagus,inDrive
inDrive is the best. Thx you inDrive.,inDrive
"Kembalikan sistem lelang dulu, sekarang cuma tampil 2 driver di slide awal jadi susah dapet orderan",inDrive
"Tolong di perbaiki, karna setiap dapet orderan tembakan atau orderan fiktif rating atau bintang langsung turun jauh dan tolong hilangkan lelangan karna hanya untuk orderan tembakan aja,, kuatkan autobid. Terima kasih...",inDrive
Ngak guna suka blokir ngak jelas,inDrive
Mantap,inDrive
Mantap Akurat maps ya,inDrive
Bagus,inDrive
"Saldo terpotong ketika pesanan selesai,bukan potong saldo dahulu. Masalahnya ketika penumpang cancel saldo dikembalikan nya memakan waktu!",inDrive
Mantab,inDrive
indriver sangat puas harga pas,inDrive
Pengemudi yg ramah,inDrive
Setelah di update jadi susah dapet orderan penumpang padahal akun sudah prioritas,inDrive
Oke,inDrive
"Aplikasi original ga dapat2 order paling banyak 3 order aja, masih kalah sama yg pake mod dan modul apalagi member, juga ada yg nitik segala,. Hampir 75% banyak yg pake mod dan member, kok bisa ga kedeteksi, gimana ini.. Saya kadang pake ori kedeteksi pakai aplikasi palsu,.. kok ga bisa ke pantau sama pihak indrive.. tolong segera rapihkan apk ini,.. biar semua kebagian order merata,..",inDrive
Ngeri order nya sehari cuma 1 paling banyak 2 ngenes bgt ya 😅,inDrive
banyak pelor,inDrive
