content,appName
"kemarin saya narik penumpang ke zona merah dmna lg hujan lebat, penumpang gak sabaran menunggu,sikap penumpang gak sopan.esok hari nya dari bintang 5 jadi 4,84 naik lg jadi 4,85 entah apa yg terjadi saat ini bintang saya 4,82.tolong pada indrive harus bijaksana jg sama pengemudi jgn ada komplain dari penumpang main di turun kan rating padahal liat dulu histori pengemudinya/penumpang nya rating nya jelek.jadi ngaruh biasa nya selalu target tapi hari ini gak target.solusi nya pun gak nol",inDrive
"driver Indriver paling sengsara dan dibodohi, sudah jalankan oder dengan tarif kritis,long trip dengan tarif ngawur masih dipersulit oderan, penumpang lebih diuntungkan dan dimanjakan dari pada driver.semakin ramai pengguna kinerja sistem makin ngawur semakin menindas driver",inDrive
"saya sebagai driver indriver sangat sangat merasa di rugikan di sistem yang sekarang ini,karena ketika ada customer yang hanya dengan sengaja membuat orderan fiktif atau palsu kok bisa memberikan bintang 1 kepada driver sekarang ini ketika orderan di cancel oleh saya ataupun oleh pelaku orderan fiktif,dan akhirnya dampaknya merusak akun akun driver indriver yang tadinya sudah naik ke frekuensi yang sangat tinggi,malah langsung turun drastis,bahkan reting drivernya pun ikut turun jauh,",inDrive
"tolong diperbaiki indriver, orderan cancelan dari penumpang penilaian nya bintanya bisa berpengaruh direting driver, tidak masuk dalam logika, terkecuali jika orderan sudah terselesaikan terus di nilai oleh pemesanan itu sangat wajar, namun sistem sekarang tidak wajar, tidak adil susah payah menjaga penilaian rating agar tdk turun, malah ancor sekejap tolong ditindaklanjuti banyak driver yg brubah jadi pemesanan buat orderan terus d cancel, dikasih minta jelek kedriver, buat untuk kepentingan",inDrive
ooke,inDrive
Kurang begitu bisa di andalkan,inDrive
"indrive kenapa sekarang di update dapat point 24 ribu jadi susah cocol harus membayar dahulu,, padahal driver cargo sudah lumayan dikenal customer perhatikan driver cargo yg rating bagus sangat kecewa saya sebagai driver cargo yg setia dr awal pakai indrive",inDrive
"rating bagus akun udah mau veteran harus nya bedain sistem lelang jangan samain sama akun pemula , seharus nya orderan tuh masuk ke akun sangat tinggi dulu baru nnti nnti masuk yg tinggi , klo sistem sekarang di bagi bagi susah driver lama dapet orderan nya , harus nya yg di utamain masuk lelang duluan tuh yang akun frioritas sangat tinggi dulu , sangat di sayangkan rating bagus reputasi bagus prjalan udh ribuan tapi ga ngaruh k orderan harus nya yg gacor tuh akun yg priritas sangat tinggi",inDrive
"tidak semua penumpang adalah Raja.... mohon di verifikasi ke driver klu penumpang kasih bintang 1, 2, 3 atau 4. masa hanya krn kembaliannya gk ada dikasih bintang 4?",inDrive
terima kasih,inDrive
harga hancur lagi aja ampun ampun kenapa harus turun harga ...parah banget lagi ini mah perlu di notif kementerian terkait ini mah,inDrive
mantaaaapp,inDrive
aplikasi tiba2 blokir sendiri aneh mana keluar2 terus maps gak akurat,inDrive
pak minta tolong rongsenan ketinggalan dimobil...kalau bisa dianterin,inDrive
pendaftaran sebagai driver terhenti karena type kendaraan tidak tersedia,inDrive
penumpang yg batalkan orderan..kenapa akun driver yg di blokir??,inDrive
Mantap,inDrive
Aplikasi In driver ini sistem penawaran nya yg pertama masuk bisa jadi urutan yg terakhir kalau bisa yg pertama masuk tetap lah d atas bukan makin kebawah tolong d perbaiki sistem penawaran aplikasi in driver ini. dan yg menggunakan aplikasi tambahan seperti macro dan mood tolong d basmi dan akun peluru yg ada d pematang siantar ini,inDrive
"saya baru daftar.. tp saat ada orderan Masuk, ggk bisa ada persetujuan.. jadi out terus.. solusinya",inDrive
ok banget deah,inDrive
"TOLONG UPDATE TERBARU KALI INI SANGAT TIDAK BAGUS., DI KARENAKAN TOMBOL ""SAYA DI SINI"" SERING TIDAK MUNCUL. MENGAKIBATKAN DRIVER DENGAN PENUMPANG SALAH PAHAM. DRIVER SUDH DI LOKASI JEMPUT NAMUN PENUMPANG TIDAK MENDAPATKAN NOTIFIKASI, DAN PARAHNYA REPUTASI KITA DRIVER TURUN KARENA ITU. TOLONG SEGERA DI PERBAIKILAH",inDrive
mohon maaf saya turunkan dahulu rating nya selama akun saya masih di blokir. terimakasih,inDrive
lebih baik,inDrive
makin update tapi makin sering error..sekarang sering tidak bisa klik saya di sini..padahal sudah sampai lokasi sesuai titik jemput...waktu jemput juga terlalu cepat.. jadi terkesan driver nya yg lambat.. dan customer seenaknya memberikan rating rendah ke driver yang berdampak rating driver turun dan susah dapat orderan..padahal sudah diantar dengan baik.. satu aja customer kasih rating rendah rating driver langsung anjlok parah.aplikatornya sangat tidak adil 😡,inDrive
"aplikasi lawak, gabisa jalan kalo pake wifi.. ada ya yg kaya begini wkwkw lawak",inDrive
2 jempol,inDrive
"ada bug saat sudah klik ""saya disini"" susah di klik, padahal sudah sampai dari titik A tolong di perbaiki. karna menghambat terutama kepada driver.",inDrive
